,raw-date,visits,date,month,year
482,2020 MAR,3239,2020-03-01,Mar,2020
481,2020 FEB,5232,2020-02-01,Feb,2020
480,2020 JAN,5419,2020-01-01,Jan,2020
479,2019 DEC,5050,2019-12-01,Dec,2019
478,2019 NOV,5683,2019-11-01,Nov,2019
477,2019 OCT,8434,2019-10-01,Oct,2019
476,2019 SEP,9725,2019-09-01,Sep,2019
475,2019 AUG,11628,2019-08-01,Aug,2019
474,2019 JUL,8647,2019-07-01,Jul,2019
473,2019 JUN,9125,2019-06-01,Jun,2019
472,2019 MAY,8228,2019-05-01,May,2019
471,2019 APR,8406,2019-04-01,Apr,2019
470,2019 MAR,6473,2019-03-01,Mar,2019
469,2019 FEB,5538,2019-02-01,Feb,2019
468,2019 JAN,6149,2019-01-01,Jan,2019
467,2018 DEC,5054,2018-12-01,Dec,2018
466,2018 NOV,5700,2018-11-01,Nov,2018
465,2018 OCT,8655,2018-10-01,Oct,2018
464,2018 SEP,9644,2018-09-01,Sep,2018
463,2018 AUG,11533,2018-08-01,Aug,2018
462,2018 JUL,8746,2018-07-01,Jul,2018
461,2018 JUN,9026,2018-06-01,Jun,2018
460,2018 MAY,7603,2018-05-01,May,2018
459,2018 APR,8018,2018-04-01,Apr,2018
458,2018 MAR,5690,2018-03-01,Mar,2018
457,2018 FEB,5071,2018-02-01,Feb,2018
456,2018 JAN,5831,2018-01-01,Jan,2018
455,2017 DEC,5093,2017-12-01,Dec,2017
454,2017 NOV,5467,2017-11-01,Nov,2017
453,2017 OCT,8305,2017-10-01,Oct,2017
452,2017 SEP,9552,2017-09-01,Sep,2017
451,2017 AUG,10819,2017-08-01,Aug,2017
450,2017 JUL,8328,2017-07-01,Jul,2017
449,2017 JUN,8951,2017-06-01,Jun,2017
448,2017 MAY,7132,2017-05-01,May,2017
447,2017 APR,7660,2017-04-01,Apr,2017
446,2017 MAR,5511,2017-03-01,Mar,2017
445,2017 FEB,4942,2017-02-01,Feb,2017
444,2017 JAN,5482,2017-01-01,Jan,2017
443,2016 DEC,4642,2016-12-01,Dec,2016
442,2016 NOV,5079,2016-11-01,Nov,2016
441,2016 OCT,7729,2016-10-01,Oct,2016
440,2016 SEP,9030,2016-09-01,Sep,2016
439,2016 AUG,10530,2016-08-01,Aug,2016
438,2016 JUL,7989,2016-07-01,Jul,2016
437,2016 JUN,7909,2016-06-01,Jun,2016
436,2016 MAY,6965,2016-05-01,May,2016
435,2016 APR,6913,2016-04-01,Apr,2016
434,2016 MAR,5103,2016-03-01,Mar,2016
433,2016 FEB,4931,2016-02-01,Feb,2016
432,2016 JAN,4938,2016-01-01,Jan,2016
431,2015 DEC,4569,2015-12-01,Dec,2015
430,2015 NOV,4958,2015-11-01,Nov,2015
429,2015 OCT,7278,2015-10-01,Oct,2015
428,2015 SEP,8388,2015-09-01,Sep,2015
427,2015 AUG,10065,2015-08-01,Aug,2015
426,2015 JUL,7852,2015-07-01,Jul,2015
425,2015 JUN,7437,2015-06-01,Jun,2015
424,2015 MAY,6911,2015-05-01,May,2015
423,2015 APR,6328,2015-04-01,Apr,2015
422,2015 MAR,4989,2015-03-01,Mar,2015
421,2015 FEB,4097,2015-02-01,Feb,2015
420,2015 JAN,4746,2015-01-01,Jan,2015
419,2014 DEC,4076,2014-12-01,Dec,2014
